y_true,y_score
1,0.5894931797736302
1,0.6921853102844246
1,0.47270125945962205
1,0.528932543391972
1,0.5806832798677714
1,0.48001970378510406
1,0.4643547382949043
1,0.7567974436175603
1,0.6540084026083183
1,0.5783665365632452
1,0.5315583456410933
1,0.37532306318729614
1,0.6668764718565618
1,0.5160344756786934
1,0.3817212514138516
1,0.6950434641460081
1,0.4111137701291898
1,0.5612147710693308
1,0.5831293798763659
1,0.5616593127005335
1,0.4499851845785604
1,0.665500316006703
1,0.618297331482277
1,0.747138306942468
1,0.5485860325704173
1,0.4266218777822872
1,0.4506093962978232
1,0.46551520391524576
1,0.5354507644428959
1,0.6514298646576121
1,0.3696860885267391
1,0.5222230235774908
1,0.5762589550685553
1,0.6412606349853134
1,0.48475892853492697
1,0.6790022399535358
1,0.7028969003892613
1,0.45057857499724324
1,0.39330266864520935
1,0.716511072975719
1,0.29740188933302
1,0.5919445663646918
1,0.39250182054022464
1,0.6437823533699012
1,0.3681986251999896
1,0.7760063319215323
1,0.5891757338638206
1,0.7388611842694013
1,0.4340192111777697
1,0.6377432742680539
1,0.38025678625877307
1,0.5037431652637169
1,0.5802370923544802
1,0.45510600647050287
1,0.5536854069341771
1,0.4966651755941173
1,0.5319432047351867
1,0.7333806791277636
1,0.5062542856108991
1,0.30329613621370344
1,0.5494209830644048
1,0.4804818350553858
1,0.6400605786339976
1,0.5332243967336682
1,0.6263843331616987
1,0.6567338457107349
1,0.5402910604213549
1,0.3905106258336008
1,0.6442373030159424
1,0.4708171393706858
1,0.5134209222904288
1,0.6968799568797587
1,0.5967984755471133
1,0.41013433914125014
1,0.545008945186342
1,0.5508011385097732
1,0.5681162566334893
1,0.319911831191485
1,0.5834575594288476
1,0.18374643155597106
1,0.47447752146994343
1,0.6598796948815375
1,0.5302964473453834
1,0.7079649242604028
1,0.40482660552803235
1,0.6570830590757561
1,0.6027992189189222
1,0.48744635542483766
1,0.42114524313057167
1,0.5963405924352589
1,0.6477568113660122
1,0.5074263099714795
1,0.33081511515084894
1,0.4589440298096136
1,0.5301925894481516
1,0.5942243921245218
1,0.5126155183384621
1,0.5965561471173371
1,0.2915445175014369
1,0.47665072840758427
1,0.559124763162965
1,0.5865477618283188
1,0.43660349796417675
1,0.33404169507195935
1,0.45589394194741795
1,0.43662011329919176
1,0.5065287008716488
1,0.3944195496349245
1,0.6554933923742668
1,0.5621656225372424
1,0.49798043750998633
1,0.5835769020460752
1,0.4828524938523255
1,0.5193576063504488
1,0.5122537410526499
1,0.6369841912858601
1,0.5794403991152306
1,0.4734662901766384
1,0.6203356075490134
1,0.3062610327941328
1,0.5862275554277288
1,0.5444171782422761
1,0.6437892384987228
1,0.7326283933291163
1,0.6181429546449891
1,0.5116612013776922
1,0.4761908247504532
1,0.7090574561566814
1,0.437293751543657
1,0.3681011855513931
1,0.4815747072378582
1,0.35579516083938934
1,0.6455964609271359
1,0.34034158505562073
1,0.6211623669996956
1,0.38310947243086146
1,0.4997912709707886
1,0.5564314399598776
1,0.5373312261656314
1,0.7064644979487187
1,0.628379107262422
1,0.5517270023889779
1,0.6844770470212592
1,0.7581393413048573
1,0.4019612845284135
1,0.5123097038143222
1,0.6008286796919566
1,0.5912753602977252
1,0.49070182045201877
1,0.5633190440525561
1,0.613920156991824
1,0.7432208604966906
1,0.43025420416329097
1,0.5774181850777165
1,0.4501706075732118
1,0.633647309902401
1,0.46985619648811366
1,0.6736723387044709
1,0.597137904450318
1,0.5260955905030206
1,0.6203417576471033
1,0.4356344857510523
1,0.3184594921532333
1,0.6822769947266784
1,0.6637197460862868
1,0.47383128512191547
1,0.637682615021885
1,0.5935148714451787
1,0.5985290266621665
1,0.5174407306939971
1,0.710739032765259
1,0.6744859892903259
1,0.39399782230604047
1,0.48205534275993706
1,0.664471691821653
1,0.4519309246393535
1,0.56381056175534
1,0.5622492173539784
1,0.5812716468796069
1,0.7226176046430829
1,0.6993791123994221
1,0.4728709831817531
1,0.4643358531635946
1,0.5044150075549658
1,0.5788984171994386
1,0.6823363138457121
1,0.5744146326974215
1,0.40015409404896085
1,0.6072581690298425
1,0.4042167744793086
1,0.48584591708948494
1,0.5671624527187988
1,0.5224146026196811
1,0.5226050544659582
1,0.4438054709342852
1,0.49831469029417746
1,0.6059699914734599
1,0.6385453210066626
1,0.5592608901953581
1,0.7584977922650515
1,0.6347796183837072
1,0.395251203870819
1,0.6544368337070722
1,0.5625602297866731
1,0.41731886183113476
1,0.4129018307594361
1,0.5076456520982819
1,0.47601738080039013
1,0.4858060613619528
1,0.43370496287413457
1,0.5475053885698723
1,0.39588216774716994
1,0.5585390104732588
1,0.6473649350251529
1,0.6347874412559406
1,0.6860334506143193
1,0.3844285950353279
1,0.5172478402145841
1,0.6119576149248664
1,0.6351083671562462
1,0.6502093304303784
1,0.5928059490465865
1,0.4149830140771641
1,0.5939596651962081
1,0.42219658581641417
1,0.5297354629593348
1,0.5228755888330956
1,0.37012254564217645
1,0.6441083810223125
1,0.4330963233608207
1,0.6126600140344589
1,0.4978085007035338
1,0.4379500340359805
1,0.5779496200446242
1,0.4358044868576373
1,0.4976114483740455
1,0.5275109833204892
1,0.30582616343928287
1,0.6343989364071427
1,0.5467281321311634
1,0.35205328580841433
1,0.5363873310424783
1,0.6138430077056277
1,0.37333448584428924
1,0.5167026498696787
1,0.44671291076062664
1,0.611039139804308
1,0.5349511237631086
1,0.6850162525762948
1,0.5672964056095593
1,0.44412126469240853
1,0.6817733852076195
1,0.5800148159910703
1,0.5522918079490502
1,0.594782899467256
1,0.6276496579495826
1,0.6238003374261636
1,0.3697914459271924
1,0.6869694115871656
1,0.5747691780467195
1,0.5064044764019074
1,0.555845128829204
1,0.535237337517549
1,0.47482544212633715
1,0.46938632221790366
1,0.4896294146593836
1,0.6639918964198944
1,0.5838020405939129
1,0.49860267607852005
1,0.3584948581937744
1,0.3932796334677724
1,0.30897996776189784
1,0.6458903350349582
1,0.5190583488217156
1,0.6311107242359949
1,0.6940507529616016
1,0.5558739198353428
1,0.3724847622767845
1,0.25068876048050287
1,0.5217705272773827
1,0.5578870215886218
1,0.5785497926311726
1,0.6011531274967239
1,0.4553808734073629
1,0.5630759326087561
1,0.4789598108179653
1,0.5806509169759875
1,0.6578494995469483
1,0.5095034180749699
1,0.7383613300651639
1,0.39467223404635154
1,0.3534579636275431
1,0.5246796718715097
1,0.5465275538692784
1,0.5353668821389539
1,0.7323396069895602
1,0.6053262228906235
1,0.5000539572660613
1,0.49059490110205545
1,0.6538699301196765
1,0.5447700278383552
1,0.42421628120006866
1,0.46775947376722826
1,0.579435288868636
1,0.5504853210476421
1,0.5577862781348909
1,0.35158978956257525
1,0.5159251011630059
1,0.4427884249652866
1,0.3696180569426929
1,0.5708371971008869
1,0.5989138280191392
1,0.5846678830240952
1,0.6765105050894338
1,0.2932453026591976
1,0.4629163884813347
1,0.5163855510302955
1,0.6015284354410377
1,0.5029440251192064
1,0.5664604866466042
1,0.5843681541681597
1,0.5355020979847532
1,0.46581688292556744
1,0.5172281790489045
1,0.4350500377548516
1,0.49621351766220256
1,0.4642984420952223
1,0.5429165552217453
1,0.37834365684108634
1,0.634698595054758
1,0.5405916612109442
1,0.4772760608572878
1,0.6151902461942904
1,0.5139981477841551
1,0.49200582914428354
1,0.5090199124027621
1,0.608993595227152
1,0.37243971068865234
1,0.5619019144098009
1,0.7653665977002585
1,0.3735679180092647
1,0.5614442628474926
1,0.3806724015452356
1,0.48093869884144536
1,0.42582523786191046
1,0.4930096571968418
1,0.6089115140033354
1,0.5543495523677028
1,0.6358888168588278
1,0.47686931636511276
1,0.49684415342027605
1,0.6139444732575299
1,0.49046782469016426
1,0.5283909020176698
1,0.5699077329284269
1,0.5238242770121211
1,0.34882828898662754
1,0.6522461073852199
1,0.4542002675194787
1,0.5625222310065101
1,0.464590459005444
1,0.46239931370029635
1,0.6962475787131565
1,0.40698185612374044
1,0.7709063747480628
1,0.5186430173301663
1,0.5626197831332299
1,0.4188910200350039
1,0.6013135803579047
1,0.5292851670752953
1,0.48867097547820404
1,0.4524644358069817
1,0.5944424338126814
1,0.580720758482372
1,0.5027941503961512
1,0.5664407839591613
1,0.5501720494660196
1,0.45941453627550904
1,0.40724044196444564
1,0.4898152707035365
1,0.4687133271317315
1,0.5285406029240511
1,0.64123475102322
1,0.5407772947003877
1,0.3064887602413174
1,0.48821958753483424
1,0.7106996131869859
1,0.4105712251599045
1,0.5594146350471434
1,0.33014292697509817
1,0.6568861400255545
1,0.6942484207504632
1,0.4418072557618781
1,0.24340837226985051
1,0.6135526126276567
1,0.4024294833071036
1,0.6510294009886493
1,0.4745387274816145
1,0.5456500326445488
1,0.6154416398823596
1,0.47550502482010343
1,0.47606342552034264
1,0.48335586565850625
1,0.41655673364809576
1,0.4027960112977655
1,0.45083780712729005
1,0.5913847912956821
1,0.6277968005489553
1,0.5630143223246166
1,0.497689888282666
1,0.4276498512616184
1,0.6535404186020315
1,0.6745789965381246
1,0.4301369219966884
1,0.6530491937047095
1,0.5020251830749441
1,0.4685318568997117
1,0.42079597457375534
1,0.3532793011881917
1,0.43108279023053825
1,0.40777865785805856
1,0.5373879732331309
1,0.4739167136867798
1,0.5247268185192397
1,0.5164174198913687
1,0.5917689986685737
1,0.5261551567964821
1,0.5211288127330849
1,0.6460801769850635
1,0.501928747475417
1,0.6198506421261535
1,0.541486294769731
1,0.5552254558706271
1,0.5160954643137148
1,0.5919794682753825
1,0.48663136749588004
1,0.41962181209857086
1,0.2587220160685947
1,0.5501178659371913
1,0.5501133276277402
1,0.5545483712908859
1,0.7420469445511645
1,0.5463998532210802
1,0.42129157236736886
1,0.3317560875882828
1,0.5433331580000503
1,0.7013211741288209
1,0.530106862839386
1,0.41776528020898673
1,0.3951345200034733
1,0.4600398750618214
1,0.4032596685821497
1,0.4761511297981843
1,0.6499941898840563
1,0.6771358594117539
1,0.6145848208823783
1,0.39995558575178175
1,0.5188294930873167
1,0.30170404545359764
1,0.4521609161605555
1,0.6337899406619577
1,0.5356017038780003
1,0.7751685040933797
1,0.4239957864129946
1,0.5008907098299593
1,0.4548011608878933
1,0.6351031224438365
1,0.5559441837185878
1,0.702953491170512
1,0.49954153866631307
1,0.5669043620739167
1,0.5699531310665054
1,0.45242363164689414
1,0.6039562339235482
1,0.5107682192810672
1,0.48728582107542395
1,0.4772944052280528
1,0.67109967922732
1,0.5362523425649152
1,0.5908770136213274
1,0.41598606709363267
1,0.42931775304244946
1,0.3031910330198965
1,0.3510347443248178
