fpr,tpr
0.0,0.0
0.00011816140848398913,0.0
0.00011816140848398913,0.0006506180871828237
0.0004726456339359565,0.0006506180871828237
0.0004726456339359565,0.0013012361743656475
0.0005908070424199456,0.0013012361743656475
0.0005908070424199456,0.001951854261548471
0.0012997754933238804,0.001951854261548471
0.0012997754933238804,0.002602472348731295
0.0023632281696797826,0.002602472348731295
0.0023632281696797826,0.003903708523096942
0.002835873803615739,0.003903708523096942
0.002835873803615739,0.004554326610279766
0.0033085194375516956,0.004554326610279766
0.0033085194375516956,0.00520494469746259
0.0034266808460356847,0.00520494469746259
0.0034266808460356847,0.0071567989590110605
0.004844617747843554,0.0071567989590110605
0.004844617747843554,0.008458035133376708
0.0050809405648115325,0.008458035133376708
0.0050809405648115325,0.009108653220559532
0.005199101973295522,0.009108653220559532
0.005199101973295522,0.009759271307742356
0.0059080704241994565,0.009759271307742356
0.0059080704241994565,0.01040988939492518
0.00673520028358738,0.01040988939492518
0.00673520028358738,0.011711125569290826
0.007326007326007326,0.011711125569290826
0.007326007326007326,0.01236174365647365
0.007444168734491315,0.01236174365647365
0.007444168734491315,0.013012361743656473
0.007680491551459293,0.013012361743656473
0.007680491551459293,0.013662979830839297
0.00815313718539525,0.013662979830839297
0.00815313718539525,0.014313597918022121
0.008625782819331207,0.014313597918022121
0.008625782819331207,0.015614834092387769
0.008862105636299186,0.015614834092387769
0.008862105636299186,0.01626545217957059
0.009098428453267164,0.01626545217957059
0.009098428453267164,0.016916070266753416
0.009216589861751152,0.016916070266753416
0.009216589861751152,0.018867924528301886
0.009334751270235142,0.018867924528301886
0.009334751270235142,0.020169160702667534
0.010280042538107055,0.020169160702667534
0.010280042538107055,0.02081977878985036
0.010634526763559022,0.02081977878985036
0.010634526763559022,0.022121014964216004
0.010752688172043012,0.022121014964216004
0.010752688172043012,0.02342225113858165
0.010870849580527,0.02342225113858165
0.010870849580527,0.0247234873129473
0.01098901098901099,0.0247234873129473
0.01098901098901099,0.025374105400130124
0.011461656622946946,0.025374105400130124
0.011461656622946946,0.02797657774886142
0.011579818031430935,0.02797657774886142
0.011579818031430935,0.028627195836044242
0.011816140848398913,0.028627195836044242
0.011816140848398913,0.029277813923227064
0.012170625073850881,0.029277813923227064
0.012170625073850881,0.02992843201040989
0.012643270707786838,0.02992843201040989
0.012643270707786838,0.03057905009759271
0.013234077750206782,0.03057905009759271
0.013234077750206782,0.03188028627195836
0.013352239158690772,0.03188028627195836
0.013352239158690772,0.03318152244632401
0.01347040056717476,0.03318152244632401
0.01347040056717476,0.03383214053350683
0.01488833746898263,0.03383214053350683
0.01488833746898263,0.034482758620689655
0.015951790145338533,0.034482758620689655
0.015951790145338533,0.03513337670787248
0.016542597187758478,0.03513337670787248
0.016542597187758478,0.035783994795055306
0.016660758596242466,0.035783994795055306
0.016660758596242466,0.03643461288223813
0.017369727047146403,0.03643461288223813
0.017369727047146403,0.03708523096942095
0.017960534089566348,0.03708523096942095
0.017960534089566348,0.038386467143786594
0.018078695498050336,0.038386467143786594
0.018078695498050336,0.03903708523096942
0.018551341131986292,0.03903708523096942
0.018551341131986292,0.039687703318152245
0.018669502540470284,0.039687703318152245
0.018669502540470284,0.04033832140533507
0.01890582535743826,0.04033832140533507
0.01890582535743826,0.04163955757970072
0.01914214817440624,0.04163955757970072
0.01914214817440624,0.043591411841249185
0.019496632399858205,0.043591411841249185
0.019496632399858205,0.04554326610279766
0.019614793808342197,0.04554326610279766
0.019614793808342197,0.0468445022771633
0.02044192366773012,0.0468445022771633
0.02044192366773012,0.04749512036434613
0.0206782464846981,0.04749512036434613
0.0206782464846981,0.048796356538711776
0.02138721493560203,0.048796356538711776
0.02138721493560203,0.0494469746258946
0.021859860569537988,0.0494469746258946
0.021859860569537988,0.05074821080026025
0.02197802197802198,0.05074821080026025
0.02197802197802198,0.05139882888744307
0.022332506203473945,0.05139882888744307
0.022332506203473945,0.05204944697462589
0.022450667611957936,0.05204944697462589
0.022450667611957936,0.052700065061808715
0.022923313245893893,0.052700065061808715
0.022923313245893893,0.053350683148991544
0.02304147465437788,0.053350683148991544
0.02304147465437788,0.054001301236174366
0.02339595887982985,0.054001301236174366
0.02339595887982985,0.05465191932335719
0.023632281696797826,0.05465191932335719
0.023632281696797826,0.05530253741054001
0.024341250147701762,0.05530253741054001
0.024341250147701762,0.05595315549772284
0.02457757296466974,0.05595315549772284
0.02457757296466974,0.05660377358490566
0.024695734373153727,0.05660377358490566
0.024695734373153727,0.0605074821080026
0.025050218598605695,0.0605074821080026
0.025050218598605695,0.06180871828236825
0.025168380007089684,0.06180871828236825
0.025168380007089684,0.062459336369551074
0.025404702824057664,0.062459336369551074
0.025404702824057664,0.06441119063109954
0.02587734845799362,0.06441119063109954
0.02587734845799362,0.06571242680546518
0.02694080113434952,0.06571242680546518
0.02694080113434952,0.06701366297983084
0.02705896254283351,0.06701366297983084
0.02705896254283351,0.06766428106701367
0.027413446768285478,0.06766428106701367
0.027413446768285478,0.06831489915419649
0.027767930993737446,0.06831489915419649
0.027767930993737446,0.06896551724137931
0.028831383670093347,0.06896551724137931
0.028831383670093347,0.07026675341574495
0.029185867895545316,0.07026675341574495
0.029185867895545316,0.07091737150292778
0.02989483634644925,0.07091737150292778
0.02989483634644925,0.07156798959011061
0.03013115916341723,0.07156798959011061
0.03013115916341723,0.07286922576447626
0.030603804797353185,0.07286922576447626
0.030603804797353185,0.07351984385165908
0.030721966205837174,0.07351984385165908
0.030721966205837174,0.0741704619388419
0.030958289022805154,0.0741704619388419
0.030958289022805154,0.07482108002602472
0.03131277324825712,0.07482108002602472
0.03131277324825712,0.07547169811320754
0.031549096065225095,0.07547169811320754
0.031549096065225095,0.07612231620039037
0.03178541888219308,0.07612231620039037
0.03178541888219308,0.07677293428757319
0.032021741699161055,0.07677293428757319
0.032021741699161055,0.07742355237475602
0.03249438733309701,0.07742355237475602
0.03249438733309701,0.07807417046193885
0.03273071015006499,0.07807417046193885
0.03273071015006499,0.07937540663630449
0.03284887155854898,0.07937540663630449
0.03284887155854898,0.08132726089785296
0.03296703296703297,0.08132726089785296
0.03296703296703297,0.08197787898503578
0.033085194375516956,0.08197787898503578
0.033085194375516956,0.0826284970722186
0.03343967860096892,0.0826284970722186
0.03343967860096892,0.08327911515940144
0.03414864705187286,0.08327911515940144
0.03414864705187286,0.08392973324658426
0.034266808460356846,0.08392973324658426
0.034266808460356846,0.08458035133376708
0.03462129268580882,0.08458035133376708
0.03462129268580882,0.0852309694209499
0.03509393831974477,0.0852309694209499
0.03509393831974477,0.08588158750813273
0.03580290677064871,0.08588158750813273
0.03580290677064871,0.08718282368249837
0.03769348930639253,0.08718282368249837
0.03769348930639253,0.08848405985686401
0.03781165071487652,0.08848405985686401
0.03781165071487652,0.08913467794404685
0.038756941982748434,0.08913467794404685
0.038756941982748434,0.09238776837996096
0.039820394659104336,0.09238776837996096
0.039820394659104336,0.09433962264150944
0.039938556067588324,0.09433962264150944
0.039938556067588324,0.09499024072869226
0.04005671747607231,0.09499024072869226
0.04005671747607231,0.09629147690305791
0.040411201701524284,0.09629147690305791
0.040411201701524284,0.09694209499024073
0.04076568592697625,0.09694209499024073
0.04076568592697625,0.09824333116460637
0.041002008743944225,0.09824333116460637
0.041002008743944225,0.0988939492517892
0.04123833156091221,0.0988939492517892
0.04123833156091221,0.09954456733897202
0.0413564929693962,0.09954456733897202
0.0413564929693962,0.10019518542615485
0.0424199456457521,0.10019518542615485
0.0424199456457521,0.1014964216005205
0.042656268462720075,0.1014964216005205
0.042656268462720075,0.10214703968770332
0.04277442987120406,0.10214703968770332
0.04277442987120406,0.10279765777488614
0.04360155973059199,0.10279765777488614
0.04360155973059199,0.10344827586206896
0.044192366773011936,0.10344827586206896
0.044192366773011936,0.10474951203643461
0.04490133522391587,0.10474951203643461
0.04490133522391587,0.10540013012361743
0.04525581944936784,0.10540013012361743
0.04525581944936784,0.10605074821080027
0.045373980857851826,0.10605074821080027
0.045373980857851826,0.10670136629798309
0.045846626491787786,0.10670136629798309
0.045846626491787786,0.10735198438516591
0.04631927212572374,0.10735198438516591
0.04631927212572374,0.10800260247234873
0.0466737563511757,0.10800260247234873
0.0466737563511757,0.10930383864671438
0.04726456339359565,0.10930383864671438
0.04726456339359565,0.1099544567338972
0.04773720902753161,0.1099544567338972
0.04773720902753161,0.11060507482108002
0.048209854661467565,0.11060507482108002
0.048209854661467565,0.11125569290826284
0.04832801606995155,0.11125569290826284
0.04832801606995155,0.11190631099544568
0.0489188231123715,0.11190631099544568
0.0489188231123715,0.1125569290826285
0.05010043719721139,0.1125569290826285
0.05010043719721139,0.11320754716981132
0.05021859860569538,0.11320754716981132
0.05021859860569538,0.11385816525699415
0.05187285832447123,0.11385816525699415
0.05187285832447123,0.11515940143135979
0.052109181141439205,0.11515940143135979
0.052109181141439205,0.11581001951854261
0.05222734254992319,0.11581001951854261
0.05222734254992319,0.11646063760572543
0.052581826775375165,0.11646063760572543
0.052581826775375165,0.11711125569290826
0.05269998818385915,0.11711125569290826
0.05269998818385915,0.11776187378009109
0.05399976367718303,0.11776187378009109
0.05399976367718303,0.11841249186727391
0.05411792508566702,0.11841249186727391
0.05411792508566702,0.11906310995445674
0.054354247902635,0.11906310995445674
0.054354247902635,0.11971372804163956
0.05518137776202292,0.11971372804163956
0.05518137776202292,0.12036434612882238
0.055299539170506916,0.12036434612882238
0.055299539170506916,0.1210149642160052
0.05553586198747489,0.1210149642160052
0.05553586198747489,0.12166558230318802
0.05565402339595888,0.12166558230318802
0.05565402339595888,0.12231620039037085
0.056126669029894834,0.12231620039037085
0.056126669029894834,0.1236174365647365
0.056481153255346805,0.1236174365647365
0.056481153255346805,0.12491867273910215
0.05671747607231478,0.12491867273910215
0.05671747607231478,0.12556929082628496
0.05695379888928276,0.12556929082628496
0.05695379888928276,0.1262199089134678
0.05742644452321872,0.1262199089134678
0.05742644452321872,0.12687052700065063
0.05789909015715467,0.12687052700065063
0.05789909015715467,0.12752114508783344
0.05801725156563866,0.12752114508783344
0.05801725156563866,0.12817176317501627
0.05860805860805861,0.12817176317501627
0.05860805860805861,0.12882238126219908
0.059198865650478556,0.12882238126219908
0.059198865650478556,0.13012361743656473
0.05967151128441451,0.13012361743656473
0.05967151128441451,0.13077423552374756
0.059907834101382486,0.13077423552374756
0.059907834101382486,0.13142485361093037
0.060380479735318446,0.13142485361093037
0.060380479735318446,0.1320754716981132
0.06144393241167435,0.1320754716981132
0.06144393241167435,0.13272608978529604
0.061562093820158335,0.13272608978529604
0.061562093820158335,0.13337670787247885
0.06191657804561031,0.13337670787247885
0.06191657804561031,0.1340273259596617
0.062034739454094295,0.1340273259596617
0.062034739454094295,0.1346779440468445
0.06238922367954626,0.1346779440468445
0.06238922367954626,0.13532856213402733
0.06321635353893418,0.13532856213402733
0.06321635353893418,0.13662979830839297
0.06345267635590217,0.13662979830839297
0.06345267635590217,0.1372804163955758
0.06439796762377407,0.1372804163955758
0.06439796762377407,0.13793103448275862
0.06664303438496987,0.13793103448275862
0.06664303438496987,0.13923227065712426
0.06711568001890583,0.13923227065712426
0.06711568001890583,0.1398828887443071
0.06770648706132577,0.1398828887443071
0.06770648706132577,0.1424853610930384
0.06794280987829375,0.1424853610930384
0.06794280987829375,0.14313597918022122
0.06865177832919768,0.14313597918022122
0.06865177832919768,0.14443721535458687
0.06924258537161763,0.14443721535458687
0.06924258537161763,0.1457384515289525
0.07006971523100555,0.1457384515289525
0.07006971523100555,0.14638906961613532
0.07077868368190948,0.14638906961613532
0.07077868368190948,0.14703968770331816
0.07101500649887747,0.14703968770331816
0.07101500649887747,0.1483409238776838
0.07125132931584545,0.1483409238776838
0.07125132931584545,0.1509433962264151
0.07243294340068533,0.1509433962264151
0.07243294340068533,0.15159401431359792
0.07337823466855725,0.15159401431359792
0.07337823466855725,0.15224463240078073
0.07455984875339713,0.15224463240078073
0.07455984875339713,0.15289525048796357
0.07467801016188114,0.15289525048796357
0.07467801016188114,0.1541964866623292
0.07562330142975304,0.1541964866623292
0.07562330142975304,0.15484710474951205
0.07621410847217298,0.15484710474951205
0.07621410847217298,0.1567989590110605
0.07668675410610895,0.1567989590110605
0.07668675410610895,0.15744957709824334
0.07786836819094883,0.15744957709824334
0.07786836819094883,0.15810019518542615
0.0794044665012407,0.15810019518542615
0.0794044665012407,0.1594014313597918
0.08011343495214462,0.1594014313597918
0.08011343495214462,0.16005204944697463
0.08034975776911261,0.16005204944697463
0.08034975776911261,0.16070266753415746
0.08070424199456458,0.16070266753415746
0.08070424199456458,0.16135328562134027
0.08141321044546851,0.16135328562134027
0.08141321044546851,0.1620039037085231
0.08176769467092047,0.1620039037085231
0.08176769467092047,0.16330513988288875
0.08212217889637244,0.16330513988288875
0.08212217889637244,0.1652569941444372
0.08224034030485644,0.1652569941444372
0.08224034030485644,0.16590761223162004
0.08235850171334043,0.16590761223162004
0.08235850171334043,0.16655823031880287
0.08247666312182442,0.16655823031880287
0.08247666312182442,0.16785946649316852
0.08294930875576037,0.16785946649316852
0.08294930875576037,0.16851008458035133
0.08306747016424436,0.16851008458035133
0.08306747016424436,0.16981132075471697
0.0836582772066643,0.16981132075471697
0.0836582772066643,0.1704619388418998
0.08436724565756824,0.1704619388418998
0.08436724565756824,0.17111255692908262
0.08460356847453622,0.17111255692908262
0.08460356847453622,0.17176317501626545
0.08531253692544015,0.17176317501626545
0.08531253692544015,0.1730644111906311
0.08590334396786009,0.1730644111906311
0.08590334396786009,0.17371502927781393
0.08613966678482808,0.17371502927781393
0.08613966678482808,0.17436564736499674
0.08673047382724802,0.17436564736499674
0.08673047382724802,0.17501626545217958
0.08803024932057191,0.17501626545217958
0.08803024932057191,0.17566688353936238
0.0881484107290559,0.17566688353936238
0.0881484107290559,0.17631750162654522
0.08826657213753988,0.17631750162654522
0.08826657213753988,0.17696811971372803
0.0890937019969278,0.17696811971372803
0.0890937019969278,0.17761873780091086
0.08968450903934774,0.17761873780091086
0.08968450903934774,0.1789199739752765
0.09015715467328371,0.1789199739752765
0.09015715467328371,0.18022121014964215
0.09169325298357557,0.18022121014964215
0.09169325298357557,0.180871828236825
0.09181141439205956,0.180871828236825
0.09181141439205956,0.1815224463240078
0.09192957580054355,0.1815224463240078
0.09192957580054355,0.18217306441119063
0.09204773720902754,0.18217306441119063
0.09204773720902754,0.18282368249837344
0.09228406002599551,0.18282368249837344
0.09228406002599551,0.18347430058555628
0.09275670565993147,0.18347430058555628
0.09275670565993147,0.1841249186727391
0.09370199692780339,0.1841249186727391
0.09370199692780339,0.18477553675992192
0.09488361101264327,0.18477553675992192
0.09488361101264327,0.18542615484710476
0.09535625664657922,0.18542615484710476
